;report120cm;intervalar_pos;intervalar_neg
0;0.237;0.2654253408071038;0.2085746591928962
1;0.223;0.25142534080710377;0.1945746591928962
2;0.211;0.2394253408071038;0.1825746591928962
3;0.217;0.2454253408071038;0.1885746591928962
4;0.198;0.2264253408071038;0.16957465919289622
5;0.211;0.2394253408071038;0.1825746591928962
6;0.208;0.23642534080710378;0.1795746591928962
7;0.246;0.2744253408071038;0.2175746591928962
8;0.223;0.25142534080710377;0.1945746591928962
9;0.226;0.2544253408071038;0.1975746591928962
