ΔT - Tempo de deslocamento
0.267
0.25
0.292
0.22
0.216
0.207
0.212
0.213
0.265
0.27
0.216
0.21
0.211
0.21
0.214
0.207
0.205
0.21
0.219
0.205
0.2
0.198
0.199
0.2
0.196
0.201
0.203
0.205
0.2
0.197
0.193
0.199
0.203
0.212
0.217
0.209
0.205
0.238
0.197
0.251
0.195
0.234
0.245
0.225
0.195
0.234
0.284
0.263
0.196
0.202
