;report80cm;intervalar_pos;intervalar_neg
0;0.267;0.3172715077334659;0.21672849226653415
1;0.25;0.3002715077334659;0.19972849226653414
2;0.292;0.3422715077334658;0.24172849226653412
3;0.22;0.27027150773346587;0.16972849226653414
4;0.216;0.26627150773346586;0.16572849226653413
5;0.207;0.25727150773346585;0.15672849226653413
6;0.212;0.26227150773346586;0.16172849226653413
7;0.213;0.26327150773346586;0.16272849226653413
8;0.265;0.3152715077334659;0.21472849226653415
9;0.27;0.3202715077334659;0.21972849226653415
10;0.216;0.26627150773346586;0.16572849226653413
11;0.21;0.26027150773346586;0.15972849226653413
12;0.211;0.26127150773346586;0.16072849226653413
13;0.21;0.26027150773346586;0.15972849226653413
14;0.214;0.26427150773346586;0.16372849226653413
15;0.207;0.25727150773346585;0.15672849226653413
16;0.205;0.25527150773346585;0.15472849226653412
17;0.21;0.26027150773346586;0.15972849226653413
18;0.219;0.26927150773346586;0.16872849226653414
19;0.205;0.25527150773346585;0.15472849226653412
20;0.2;0.25027150773346585;0.14972849226653415
21;0.198;0.24827150773346587;0.14772849226653414
22;0.199;0.24927150773346587;0.14872849226653415
23;0.2;0.25027150773346585;0.14972849226653415
24;0.196;0.24627150773346587;0.14572849226653414
25;0.201;0.25127150773346585;0.15072849226653415
26;0.203;0.25327150773346585;0.15272849226653415
27;0.205;0.25527150773346585;0.15472849226653412
28;0.2;0.25027150773346585;0.14972849226653415
29;0.197;0.24727150773346587;0.14672849226653414
30;0.193;0.24327150773346587;0.14272849226653414
31;0.199;0.24927150773346587;0.14872849226653415
32;0.203;0.25327150773346585;0.15272849226653415
33;0.212;0.26227150773346586;0.16172849226653413
34;0.217;0.26727150773346586;0.16672849226653413
35;0.209;0.25927150773346586;0.15872849226653413
36;0.205;0.25527150773346585;0.15472849226653412
37;0.238;0.2882715077334659;0.18772849226653412
38;0.197;0.24727150773346587;0.14672849226653414
39;0.251;0.3012715077334659;0.20072849226653414
40;0.195;0.24527150773346587;0.14472849226653414
41;0.234;0.2842715077334659;0.18372849226653415
42;0.245;0.2952715077334659;0.19472849226653413
43;0.225;0.27527150773346587;0.17472849226653414
44;0.195;0.24527150773346587;0.14472849226653414
45;0.234;0.2842715077334659;0.18372849226653415
46;0.284;0.3342715077334658;0.2337284922665341
47;0.263;0.3132715077334659;0.21272849226653415
48;0.196;0.24627150773346587;0.14572849226653414
49;0.202;0.25227150773346585;0.15172849226653415
